Bulk Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
108 250.00 1083.61 34.467444 53.0097 2.40519 10.9679 1.8596 0.00836318 14.7658 0.445688 3.62934 0.0117908 0 8.34582 3.50374 0.118656 0.188584 0.725322 0.0145064
109 250.00 1082.61 34.203693 53.0392 2.41176 10.9373 1.86463 0.00689855 14.798 0.449125 3.59197 0.0118817 0 8.3198 3.51446 0.119442 0.190038 0.730915 0.0146183
110 250.00 1081.61 33.941560 53.0701 2.41769 10.9068 1.86958 0.00554482 14.8291 0.452594 3.55464 0.0119735 0 8.29371 3.52527 0.120234 0.191506 0.73656 0.0147312
111 250.00 1080.61 33.680944 53.1025 2.42293 10.8764 1.87445 0.0043143 14.8591 0.456096 3.51734 0.0120661 0 8.26755 3.53618 0.121033 0.192987 0.742259 0.0148452
112 250.00 1079.61 33.421716 53.1364 2.42744 10.8462 1.87923 0.00321883 14.8878 0.459633 3.48005 0.0121597 0 8.2413 3.5472 0.121839 0.194484 0.748017 0.0149603
113 250.00 1078.61 33.163686 53.1721 2.43116 10.8162 1.88395 0.00226962 14.9153 0.46321 3.44277 0.0122543 0 8.21495 3.55835 0.122655 0.195998 0.753837 0.0150767
114 250.00 1077.61 32.906544 53.2097 2.43398 10.7863 1.88862 0.00147703 14.9413 0.466829 3.40547 0.0123501 0 8.18846 3.56965 0.123479 0.197529 0.759727 0.0151945
115 250.00 1076.61 32.649703 53.2497 2.43574 10.7566 1.89332 0.000850287 14.9654 0.470502 3.36808 0.0124472 0 8.1618 3.58114 0.124316 0.199083 0.765704 0.0153141
116 250.00 1075.61 32.391818 53.293 2.43601 10.7272 1.89836 0.000396907 14.9869 0.474248 3.33046 0.0125463 0 8.13484 3.59294 0.125169 0.200668 0.7718 0.015436
117 250.00 1074.61 32.128767 53.3429 2.43352 10.6983 1.9056 0.000120932 15.002 0.47813 3.29215 0.012649 0 8.10723 3.60537 0.126055 0.202311 0.778119 0.0155624
118 250.00 1073.61 31.840798 53.4141 2.4223 10.6709 1.91748 0 14.9996 0.482455 3.25099 0.0127634 0 8.07735 3.62006 0.127048 0.204141 0.785156 0.0157031
119 250.00 1072.61 31.484859 53.5406 2.38916 10.6478 1.92205 0 14.9702 0.487909 3.20229 0.0129077 0 8.04175 3.6406 0.128317 0.206448 0.794032 0.0158806
120 250.00 1071.61 31.100136 53.6954 2.34513 10.6266 1.92003 0 14.9293 0.493944 3.15023 0.0130674 0 8.0035 3.66406 0.129727 0.209002 0.803855 0.0160771
121 250.00 1070.61 30.726977 53.848 2.3022 10.6048 1.91808 0 14.8891 0.499943 3.09916 0.0132261 0 7.9658 3.68716 0.131126 0.21154 0.813617 0.0162723
122 250.00 1069.61 30.364833 53.9984 2.26034 10.5825 1.9162 0 14.8493 0.505906 3.04904 0.0133838 0 7.92864 3.70991 0.132514 0.214063 0.823321 0.0164664
123 250.00 1068.61 30.013186 54.1467 2.2195 10.5597 1.9144 0 14.8101 0.511833 2.99985 0.0135406 0 7.89199 3.73231 0.133891 0.216571 0.832967 0.0166593
124 250.00 1067.61 29.671551 54.2929 2.17964 10.5364 1.91265 0 14.7714 0.517726 2.95155 0.0136965 0 7.85585 3.75438 0.135258 0.219065 0.842558 0.0168512
125 250.00 1066.61 29.339473 54.4373 2.14073 10.5127 1.91097 0 14.7332 0.523586 2.90412 0.0138516 0 7.8202 3.77613 0.136614 0.221545 0.852094 0.0170419
126 250.00 1065.61 29.016523 54.5797 2.10274 10.4885 1.90935 0 14.6954 0.529414 2.85754 0.0140057 0 7.78503 3.79756 0.13796 0.22401 0.861578 0.0172316
127 250.00 1064.61 28.702298 54.7203 2.06564 10.4638 1.90778 0 14.6581 0.535209 2.81178 0.0141591 0 7.75033 3.81868 0.139296 0.226463 0.87101 0.0174202
128 250.00 1063.61 28.396418 54.8591 2.02939 10.4388 1.90627 0 14.6212 0.540975 2.76681 0.0143116 0 7.71609 3.83951 0.140623 0.228902 0.880393 0.0176079
129 250.00 1062.61 28.098527 54.9961 1.99396 10.4135 1.90481 0 14.5847 0.54671 2.72261 0.0144633 0 7.6823 3.86004 0.14194 0.231329 0.889726 0.0177945
130 250.00 1061.61 27.808285 55.1316 1.95933 10.3877 1.90339 0 14.5486 0.552416 2.67917 0.0146143 0 7.64894 3.88028 0.143249 0.233743 0.899013 0.0179803
131 250.00 1060.61 27.525376 55.2654 1.92547 10.3616 1.90203 0 14.5129 0.558094 2.63646 0.0147645 0 7.61601 3.90025 0.144548 0.236146 0.908253 0.0181651
132 250.00 1059.61 27.249497 55.3976 1.89236 10.3352 1.9007 0 14.4774 0.563744 2.59445 0.014914 0 7.58349 3.91995 0.145839 0.238537 0.917448 0.018349
133 250.00 1058.61 26.980363 55.5283 1.85996 10.3085 1.89942 0 14.4424 0.569367 2.55314 0.0150627 0 7.55138 3.93939 0.147122 0.240916 0.9266 0.018532
134 250.00 1057.61 26.717706 55.6575 1.82827 10.2814 1.89818 0 14.4076 0.574965 2.5125 0.0152108 0 7.51966 3.95857 0.148396 0.243284 0.935709 0.0187142
135 250.00 1056.61 26.461270 55.7853 1.79725 10.2541 1.89698 0 14.3731 0.580537 2.47252 0.0153582 0 7.48833 3.9775 0.149663 0.245642 0.944777 0.0188955
136 250.00 1055.61 26.210814 55.9117 1.76688 10.2265 1.89581 0 14.339 0.586084 2.43318 0.015505 0 7.45738 3.99618 0.150922 0.247989 0.953805 0.0190761
137 250.00 1054.61 25.966108 56.0367 1.73715 10.1987 1.89467 0 14.3051 0.591607 2.39446 0.0156511 0 7.4268 4.01463 0.152173 0.250326 0.962793 0.0192559
138 250.00 1053.61 25.726935 56.1605 1.70804 10.1706 1.89357 0 14.2714 0.597107 2.35634 0.0157966 0 7.39658 4.03284 0.153416 0.252653 0.971744 0.0194349
139 250.00 1052.61 25.493088 56.2829 1.67952 10.1423 1.8925 0 14.238 0.602584 2.31882 0.0159415 0 7.36671 4.05082 0.154653 0.254971 0.980658 0.0196132
140 250.00 1051.61 25.264370 56.4042 1.65158 10.1137 1.89146 0 14.2048 0.60804 2.28187 0.0160858 0 7.33719 4.06858 0.155883 0.257279 0.989536 0.0197907
141 250.00 1050.61 25.040595 56.5242 1.6242 10.0849 1.89045 0 14.1718 0.613473 2.24549 0.0162296 0 7.30801 4.08613 0.157105 0.259578 0.998379 0.0199676
