Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
85 250.00 1106.61 40.863053 52.6234 2.14768 11.6801 1.73312 0.0446746 13.8338 0.375932 4.46616 0.00994536 0 8.91806 3.28147 0.102558 0.159068 0.6118 0.012236
86 250.00 1105.61 40.537030 52.6342 2.16215 11.6463 1.73937 0.0433747 13.8832 0.378956 4.42688 0.0100253 0 8.89139 3.29151 0.103264 0.160347 0.61672 0.0123344
87 250.00 1104.61 40.215435 52.6453 2.17648 11.6126 1.74557 0.0420256 13.9321 0.381986 4.38779 0.0101055 0 8.86483 3.30152 0.103971 0.161629 0.621652 0.012433
88 250.00 1103.61 39.898091 52.6568 2.19067 11.579 1.75173 0.0406249 13.9805 0.385024 4.34887 0.0101859 0 8.83837 3.31149 0.104679 0.162915 0.626596 0.0125319
89 250.00 1102.61 39.584821 52.6687 2.20471 11.5455 1.75785 0.039171 14.0284 0.388071 4.31011 0.0102665 0 8.81203 3.32144 0.105388 0.164204 0.631555 0.0126311
90 250.00 1101.61 39.275451 52.6811 2.21856 11.5122 1.76392 0.0376631 14.0756 0.391128 4.27149 0.0103474 0 8.78577 3.33138 0.106098 0.165498 0.63653 0.0127306
91 250.00 1100.61 38.969808 52.6939 2.23222 11.479 1.76993 0.036101 14.1223 0.394196 4.23302 0.0104285 0 8.75961 3.3413 0.10681 0.166796 0.641522 0.0128304
92 250.00 1099.61 38.667722 52.7074 2.24565 11.4459 1.7759 0.0344861 14.1684 0.397276 4.19468 0.01051 0 8.73352 3.35122 0.107524 0.168099 0.646534 0.0129307
93 250.00 1098.61 38.369030 52.7214 2.25884 11.413 1.78181 0.0328205 14.2138 0.400368 4.15646 0.0105918 0 8.7075 3.36114 0.10824 0.169407 0.651567 0.0130313
94 250.00 1097.61 38.073573 52.7361 2.27177 11.3802 1.78767 0.031108 14.2585 0.403475 4.11834 0.010674 0 8.68155 3.37107 0.108958 0.170722 0.656623 0.0131325
95 250.00 1096.61 37.780288 52.7517 2.28444 11.3476 1.79348 0.0293468 14.3027 0.406607 4.08018 0.0107569 0 8.65565 3.38106 0.109682 0.172047 0.66169 0.0130506
96 250.00 1095.61 37.490132 52.7681 2.29679 11.3151 1.79922 0.0275506 14.346 0.409754 4.04213 0.0108401 0 8.62979 3.39107 0.110408 0.173379 0.666787 0.0130074
97 250.00 1094.61 37.202767 52.7853 2.30879 11.2828 1.8049 0.0257253 14.3886 0.412919 4.00418 0.0109239 0 8.60397 3.40111 0.111138 0.174718 0.671911 0.0129631
98 250.00 1093.61 36.918061 52.8034 2.32043 11.2506 1.81052 0.0238791 14.4304 0.416104 3.96629 0.0110081 0 8.57818 3.41118 0.111872 0.176066 0.677066 0.0129176
99 250.00 1092.61 36.635888 52.8225 2.33167 11.2186 1.81607 0.0220215 14.4714 0.419308 3.92848 0.0110929 0 8.5524 3.4213 0.112609 0.177422 0.682253 0.0128709
100 250.00 1091.61 36.356133 52.8425 2.34249 11.1868 1.82154 0.0201626 14.5115 0.422535 3.89074 0.0111782 0 8.52663 3.43146 0.113351 0.178787 0.687474 0.012823
101 250.00 1090.61 36.078685 52.8636 2.35286 11.1551 1.82694 0.0183133 14.5508 0.425784 3.85305 0.0112642 0 8.50085 3.44168 0.114098 0.180162 0.69273 0.0127739
102 250.00 1089.61 35.803444 52.8858 2.36277 11.1235 1.83227 0.0164853 14.5891 0.429058 3.81542 0.0113508 0 8.47507 3.45196 0.114849 0.181547 0.698024 0.0127234
103 250.00 1088.61 35.530313 52.9091 2.37217 11.0921 1.83752 0.0146906 14.6266 0.432356 3.77784 0.0114381 0 8.44927 3.4623 0.115606 0.182942 0.703356 0.0126717
104 250.00 1087.61 35.259204 52.9336 2.38106 11.0609 1.84269 0.0129419 14.663 0.43568 3.74031 0.011526 0 8.42345 3.47271 0.116368 0.184349 0.70873 0.0126187
105 250.00 1086.61 34.990034 52.9594 2.3894 11.0298 1.84778 0.0112519 14.6985 0.439032 3.70282 0.0116147 0 8.39759 3.48319 0.117135 0.185767 0.714146 0.0125643
106 250.00 1085.61 34.722722 52.9863 2.39717 10.9989 1.85279 0.00963365 14.733 0.442412 3.66537 0.0117041 0 8.37169 3.49375 0.117909 0.187197 0.719607 0.0125085
107 250.00 1084.61 34.457192 53.0146 2.40435 10.9681 1.8577 0.00810012 14.7665 0.445821 3.62797 0.0117943 0 8.34574 3.5044 0.118688 0.18864 0.725113 0.0124514
108 250.00 1083.61 34.193365 53.0443 2.4109 10.9375 1.86253 0.00666424 14.7989 0.449261 3.5906 0.0118853 0 8.31973 3.51513 0.119475 0.190095 0.730668 0.0123929
109 250.00 1082.61 33.931154 53.0754 2.4168 10.9071 1.86727 0.00533871 14.8302 0.452733 3.55326 0.0119771 0 8.29366 3.52596 0.120267 0.191564 0.736272 0.0123329
110 250.00 1081.61 33.670460 53.1079 2.42202 10.8767 1.87192 0.00413587 14.8603 0.456238 3.51595 0.0120699 0 8.26751 3.53688 0.121067 0.193048 0.741928 0.0122715
111 250.00 1080.61 33.411152 53.142 2.42651 10.8466 1.87646 0.00306756 14.8893 0.459779 3.47866 0.0121635 0 8.24127 3.54792 0.121875 0.194546 0.747641 0.0122087
112 250.00 1079.61 33.153041 53.1779 2.4302 10.8165 1.8809 0.00214499 14.917 0.463358 3.44138 0.0122582 0 8.21493 3.55909 0.122691 0.19606 0.753414 0.0121442
113 250.00 1078.61 32.895815 53.2157 2.43301 10.7867 1.88522 0.00137849 14.9433 0.466982 3.40407 0.0123541 0 8.18846 3.5704 0.123516 0.197594 0.759255 0.0120781
114 250.00 1077.61 32.638884 53.2559 2.43474 10.757 1.8894 0.000777244 14.968 0.470658 3.36668 0.0124513 0 8.16181 3.58191 0.124353 0.199149 0.76518 0.0120101
115 250.00 1076.61 32.380890 53.2995 2.43499 10.7277 1.89339 0.000348554 14.9904 0.474408 3.32906 0.0125505 0 8.13488 3.59373 0.125208 0.200736 0.771222 0.0119396
116 250.00 1075.61 32.117646 53.3497 2.43249 10.6988 1.89703 9.58164e-05 15.0089 0.478296 3.29076 0.0126534 0 8.10731 3.6062 0.126095 0.202381 0.777484 0.0118649
117 250.00 1074.61 31.829301 53.4216 2.42127 10.6716 1.89958 6.54056e-06 15.0149 0.482629 3.24962 0.012768 0 8.07751 3.62093 0.12709 0.204214 0.78446 0.0117773
118 250.00 1073.61 31.473102 53.5487 2.38813 10.6486 1.89939 0 14.9899 0.488091 3.20093 0.0129125 0 8.04198 3.64153 0.128361 0.206526 0.793251 0.0116584
119 250.00 1072.61 31.088279 53.7038 2.34408 10.6274 1.89777 0 14.9487 0.494133 3.14886 0.0130724 0 8.00374 3.66502 0.129773 0.209082 0.802972 0.0115241
120 250.00 1071.61 30.715022 53.8567 2.30113 10.6057 1.89621 0 14.9081 0.500138 3.09778 0.0132312 0 7.96606 3.68815 0.131174 0.211623 0.812628 0.0113919
121 250.00 1070.61 30.352781 54.0075 2.25925 10.5834 1.8947 0 14.868 0.506106 3.04764 0.0133891 0 7.92891 3.71092 0.132563 0.214148 0.822222 0.0112615
122 250.00 1069.61 30.001039 54.1561 2.21839 10.5606 1.89324 0 14.8285 0.51204 2.99844 0.0135461 0 7.89228 3.73336 0.133941 0.216659 0.831755 0.011133
123 250.00 1068.61 29.659310 54.3027 2.17852 10.5374 1.89183 0 14.7895 0.51794 2.95013 0.0137022 0 7.85615 3.75546 0.135309 0.219155 0.841229 0.0110062
124 250.00 1067.61 29.327138 54.4474 2.13959 10.5136 1.89048 0 14.751 0.523806 2.90269 0.0138574 0 7.82052 3.77724 0.136667 0.221638 0.850645 0.0108811
125 250.00 1066.61 29.004096 54.5901 2.10159 10.4895 1.88916 0 14.7129 0.52964 2.85609 0.0140117 0 7.78537 3.7987 0.138015 0.224106 0.860004 0.0107576
126 250.00 1065.61 28.689780 54.7311 2.06446 10.4649 1.8879 0 14.6753 0.535443 2.81032 0.0141652 0 7.75069 3.81986 0.139353 0.226562 0.869307 0.0106356
127 250.00 1064.61 28.383810 54.8702 2.0282 10.4399 1.88667 0 14.6382 0.541215 2.76534 0.0143179 0 7.71646 3.84071 0.140681 0.229004 0.878557 0.0105151
128 250.00 1063.61 28.085830 55.0077 1.99275 10.4146 1.88548 0 14.6014 0.546957 2.72113 0.0144699 0 7.68269 3.86128 0.142 0.231433 0.887754 0.010396
129 250.00 1062.61 27.795500 55.1434 1.95811 10.3889 1.88433 0 14.5651 0.55267 2.67768 0.014621 0 7.64934 3.88156 0.14331 0.233851 0.896899 0.0102782
