System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2-(QFM-1.0) rhol rhos viscosity aH2O chisqr
103 250.00 1088.61 35.813315 0.9920978566912440 0.992400 -415161.345661 93.343963 13.340205 49.776968 -113.727283 986.802127 -10.639 0.000 2.683798 2.791355 2.960 n/a n/a
104 250.00 1087.61 35.540259 0.9920919130062650 0.992335 -411846.386224 92.610891 13.240280 49.375251 -116.542991 980.847432 -10.652 0.000 2.683595 2.769405 2.966 n/a n/a
105 250.00 1086.61 35.269226 0.9920839576595516 0.992267 -408561.600374 91.883553 13.141230 48.976723 -119.396636 974.923761 -10.665 0.000 2.683365 2.747366 2.971 n/a n/a
106 250.00 1085.61 35.000132 0.9920740378958435 0.992196 -405305.995340 91.161729 13.043026 48.581264 -122.289691 969.029202 -10.678 0.000 2.683108 2.725244 2.977 n/a n/a
107 250.00 1084.61 34.732897 0.9920621436357198 0.992121 -402078.625406 90.445211 12.945640 48.188758 -125.223643 963.161903 -10.691 0.000 2.682821 2.703051 2.983 n/a n/a
108 250.00 1083.61 34.467444 0.9920481725985869 0.992043 -398878.571821 89.733793 12.849046 47.799091 -128.200052 957.319973 -10.705 0.000 2.682504 2.680807 2.989 n/a n/a
109 250.00 1082.61 34.203693 0.9920318708775251 0.991962 -395704.912432 89.027266 12.753215 47.412146 -131.220623 951.501333 -10.718 0.000 2.682156 2.658540 2.995 n/a n/a
110 250.00 1081.61 33.941560 0.9920127254439111 0.991876 -392556.673870 88.325404 12.658120 47.027794 -134.287344 945.703451 -10.731 0.000 2.681775 2.636304 3.002 n/a n/a
111 250.00 1080.61 33.680944 0.9919897546987876 0.991786 -389432.752443 87.627937 12.563726 46.645880 -137.402733 939.922891 -10.745 0.000 2.681360 2.614186 3.008 n/a n/a
112 250.00 1079.61 33.421716 0.9919610620797119 0.991689 -386331.774466 86.934516 12.469990 46.266197 -140.570308 934.154436 -10.758 0.000 2.680908 2.592353 3.015 n/a n/a
113 250.00 1078.61 33.163686 0.9919227692346935 0.991582 -383251.829003 86.244626 12.376851 45.888432 -143.795629 928.389237 -10.771 0.000 2.680413 2.571135 3.022 n/a n/a
114 250.00 1077.61 32.906544 0.9918660421715757 0.991460 -380189.901266 85.557403 12.284209 45.512048 -147.088874 922.610250 -10.785 0.000 2.679866 2.551274 3.029 n/a n/a
115 250.00 1076.61 32.649703 0.9917667726819988 0.991302 -377140.499750 84.871148 12.191871 45.135947 -150.472819 916.778524 -10.798 0.000 2.679246 2.534776 3.037 n/a n/a
116 250.00 1075.61 32.391818 0.9915357794378683 0.991040 -374091.686226 84.181666 12.099384 44.757252 -154.016819 910.776338 -10.811 0.000 2.678487 2.528875 3.045 n/a n/a
117 250.00 1074.61 32.128767 0.9906792125445134 0.990293 -371010.003733 83.474043 12.005243 44.364751 -158.048357 904.062552 -10.825 0.000 2.677272 2.569761 3.055 n/a n/a
118 250.00 1073.61 31.840798 0.9884520348393994 0.988485 -367713.783838 82.692219 11.903155 43.922648 -163.281286 895.377803 -10.838 0.000 2.674899 2.682616 3.071 n/a n/a
119 250.00 1072.61 31.484859 0.9874041025547861 0.987555 -363753.060166 81.753068 11.781704 43.398217 -169.084508 885.356312 -10.852 0.000 2.671944 2.704749 3.091 n/a n/a
120 250.00 1071.61 31.100136 0.9876169930371287 0.987576 -359509.912024 80.754849 11.652671 42.847357 -174.807599 875.357031 -10.865 0.000 2.669040 2.660035 3.110 n/a n/a
121 250.00 1070.61 30.726977 0.9878219060833208 0.987589 -355392.301576 79.786214 11.527420 42.313177 -180.467094 865.708937 -10.879 0.000 2.666185 2.615437 3.128 n/a n/a
122 250.00 1069.61 30.364833 0.9880192232881961 0.987594 -351394.326248 78.845761 11.405775 41.794884 -186.069519 856.395367 -10.892 0.000 2.663379 2.570999 3.146 n/a n/a
123 250.00 1068.61 30.013186 0.9882093045168661 0.987592 -347510.447922 77.932178 11.287571 41.291731 -191.621038 847.400739 -10.906 0.000 2.660620 2.526761 3.165 n/a n/a
124 250.00 1067.61 29.671551 0.9883924890826402 0.987584 -343735.465830 77.044232 11.172653 40.803018 -197.127494 838.710471 -10.919 0.000 2.657905 2.482760 3.182 n/a n/a
